"chemostat","time","prev0","logit_g","logit_prev"
"chem_epidemic_2",29,1,-0.161154077675359,3.5251229194271
"chem_epidemic_2",30,1,-0.139524459542112,3.52220329471
"chem_epidemic_2",31,1,-0.180290807714486,3.57371706662634
"chem_epidemic_2",32,1,-0.20517188607215,3.60411453591142
"chem_epidemic_2",33,1,-0.194390369705113,3.63015284134178
"chem_epidemic_2",34,1,-0.209723998412051,3.64697977374465
"chem_epidemic_2",35,1,-0.239464662621451,3.68593135698726
"chem_epidemic_2",36,1,-0.258452712736971,3.71421733223669
"chem_epidemic_2",37,1,-0.253279938359039,3.75238293230237
"chem_epidemic_2",38,1,-0.253813768405625,3.77259989542308
"chem_epidemic_2",39,1,-0.271934475356532,3.8155077671046
"chem_epidemic_2",40,1,-0.296310347995186,3.83125136018574
"chem_epidemic_2",41,1,-0.312805490187544,3.87463156403347
"chem_epidemic_2",42,1,-0.314833048194003,3.88257075063867
"chem_epidemic_2",43,1,-0.329047857200127,3.90927236835193
"chem_epidemic_2",44,1,-0.337399604185437,3.98295148570831
"chem_epidemic_2",45,1,-0.360727773284136,3.97489778267809
"chem_epidemic_2",46,1,-0.360847147854764,4.01043426441732
"chem_epidemic_2",47,1,-0.391217598521275,4.04206583905105
"chem_epidemic_2",48,1,-0.399281699785181,4.05897509965297
"chem_epidemic_2",49,1,-0.401632922994892,4.09696090992638
"chem_epidemic_2",50,1,-0.412204281726772,4.12332987693376
"chem_epidemic_2",51,1,-0.454550153900633,4.14520479835614
"chem_epidemic_2",52,1,-0.447152554025027,4.17560214216442
"chem_epidemic_2",53,1,-0.45519432138776,4.20207313082785
"chem_epidemic_2",54,1,-0.488846367864787,4.25103858626643
"chem_epidemic_2",55,1,-0.482586297054525,4.24955827759717
"chem_epidemic_2",56,1,-0.508727192246071,4.27310813816516
"chem_epidemic_2",57,1,-0.50329433503132,4.31142287302218
"chem_epidemic_2",58,1,-0.521162028511677,4.34100859940416
"chem_epidemic_2",59,1,-0.531904924663191,4.36901118924895
"chem_epidemic_2",60,1,-0.551435513407642,4.38668922680216
"chem_endemic_2",1,100,0.00151109641397419,4.59835214329212
"chem_endemic_2",2,100,-0.00596116192550845,4.65622516757372
"chem_endemic_2",3,100,-0.0133162744135401,4.67590682174953
"chem_endemic_2",4,100,-0.0464253232404317,4.70427895418899
"chem_endemic_2",5,100,-0.0817337320199083,4.74236014499334
"chem_endemic_2",6,100,-0.0719960578155936,4.77349770617579
"chem_endemic_2",7,100,-0.083306039873572,4.81669845669822
"chem_endemic_2",8,100,-0.099955754454714,4.8361913465795
"chem_endemic_2",9,100,-0.10575450150778,4.87236878566306
"chem_endemic_2",10,100,-0.11436230045534,4.88912683400518
"chem_endemic_2",11,100,-0.14267837382508,4.92540017421516
"chem_endemic_2",12,100,-0.153467396637977,4.94901004853665
"chem_endemic_2",13,100,-0.159574705342528,4.98208091758958
"chem_endemic_2",14,100,-0.182081051486527,5.00094344081502
"chem_endemic_2",15,100,-0.188690957340687,5.02543897157787
"chem_endemic_2",16,100,-0.222244735889286,5.08705954624361
"chem_endemic_2",17,100,-0.226849952369817,5.1015271900506
"chem_endemic_2",18,100,-0.241951111767067,5.11133362072576
"chem_endemic_2",19,100,-0.250231733955351,5.14595546267547
"chem_endemic_2",20,100,-0.261649846822172,5.16832852129888
"chem_endemic_2",21,100,-0.263914442576649,5.2301838054998
"chem_endemic_2",22,100,-0.27093646562229,5.24922910207103
"chem_endemic_2",23,100,-0.301050961617772,5.26126035710207
"chem_endemic_2",24,100,-0.316764494630162,5.29704879845519
"chem_endemic_2",25,100,-0.330231437565034,5.31507735478685
"chem_endemic_2",26,100,-0.336978363233731,5.34196164483608
"chem_endemic_2",27,100,-0.348240192937638,5.36624151285533
"chem_endemic_2",28,100,-0.354030668341357,5.39548545833625
"chem_endemic_2",29,100,-0.375096563930724,5.44514604286903
"chem_endemic_2",30,100,-0.405684225153401,5.45520384817741
"chem_endemic_2",31,100,-0.39882925150216,5.48394613597269
"chem_endemic_2",32,100,-0.39905818994949,5.51210306679139
"chem_endemic_2",33,100,-0.41202878093166,5.54880697002527
"chem_endemic_2",34,100,-0.444848760375741,5.55804165056022
"chem_endemic_2",35,100,-0.465450839551493,5.57990189722723
"chem_endemic_2",36,100,-0.438406038362011,5.63311375823472
"chem_endemic_2",37,100,-0.477624066611658,5.63838065045289
"chem_endemic_2",38,100,-0.489987209439033,5.66190331887309
"chem_endemic_2",39,100,-0.497819461374754,5.68301967012042
"chem_endemic_2",40,100,-0.53117777108971,5.70869091431965
"chem_endemic_2",41,100,-0.535331417851835,5.74186177166072
"chem_endemic_2",42,100,-0.556465187644657,5.77975307815185
"chem_endemic_2",43,100,-0.561002942576611,5.81055220447861
"chem_endemic_2",44,100,-0.565894439990223,5.83231940757017
"chem_endemic_2",45,100,-0.593740680569092,5.84730655561046
"chem_endemic_2",46,100,-0.587204133106933,5.87715053963344
"chem_endemic_2",47,100,-0.603220623945087,5.89502779590909
"chem_endemic_2",48,100,-0.628166057153958,5.92033360745985
"chem_endemic_2",49,100,-0.629870246122265,5.96169612881352
"chem_endemic_2",50,100,-0.637662025956055,5.96794983549129
"chem_endemic_2",51,100,-0.647540987632353,6.02282763625097
"chem_endemic_2",52,100,-0.673289293015254,6.02745372782153
"chem_endemic_2",53,100,-0.685105822418907,6.05549832398124
"chem_endemic_2",54,100,-0.698045020759672,6.07087794744077
"chem_endemic_2",55,100,-0.695771473742399,6.09734439442214
"chem_endemic_2",56,100,-0.711943377319762,6.11465843544307
"chem_endemic_2",57,100,-0.727857884441029,6.15065540691791
"chem_endemic_2",58,100,-0.752082916632782,6.18124678696044
"chem_endemic_2",59,100,-0.758484512971256,6.20478903561572
"chem_endemic_2",60,100,-0.771191258191151,6.21813687247059
"chem_epidemic_3",1,1,0.0159854615312956,-4.57708450268425
"chem_epidemic_3",2,1,0.275844835931599,-4.32327446329416
"chem_epidemic_3",3,1,1.03157605379558,-3.41825072901231
"chem_epidemic_3",4,1,1.70438120815906,-1.99551474652147
"chem_epidemic_3",5,1,1.9526750085084,-0.476818142522496
"chem_epidemic_3",6,1,1.4707060826154,0.728132832849241
"chem_epidemic_3",7,1,0.616247410063845,1.59342546182601
"chem_epidemic_3",8,1,0.229227052091274,2.29917742226467
"chem_epidemic_3",9,1,0.129451459017645,2.70116398771764
"chem_epidemic_3",10,1,0.117368509461227,2.87737849349311
"chem_epidemic_3",11,1,0.107628860537935,2.93381280229193
"chem_epidemic_3",12,1,0.0848592500589799,2.96518539282801
"chem_epidemic_3",13,1,0.0433168360315627,2.99423267320736
"chem_epidemic_3",14,1,0.0636814404596258,3.02628971873131
"chem_epidemic_3",15,1,0.0360731001817655,3.07105707220648
"chem_epidemic_3",16,1,0.0287968891495177,3.08542004810778
"chem_epidemic_3",17,1,0.0166490937498417,3.12928410183831
"chem_epidemic_3",18,1,-0.00367855670495805,3.15742387254182
"chem_epidemic_3",19,1,-0.0166158081114692,3.18278939187925
"chem_epidemic_3",20,1,-0.018827037641766,3.20139763440046
"chem_epidemic_3",21,1,-0.0350577480509804,3.24420815202325
"chem_epidemic_3",22,1,-0.0454236947254549,3.27705192938579
"chem_epidemic_3",23,1,-0.0446457893894058,3.31476541181581
"chem_epidemic_3",24,1,-0.0749752686472594,3.3594389852074
"chem_epidemic_3",25,1,-0.0926854145679107,3.40130677854595
"chem_epidemic_3",26,1,-0.130000768901674,3.42558686940162
"chem_epidemic_3",27,1,-0.0941080046227868,3.44031312420705
"chem_epidemic_3",28,1,-0.138978245383854,3.45541495213601
"chem_epidemic_3",29,1,-0.123526240048385,3.50023403138113
"chem_epidemic_3",30,1,-0.156645198206993,3.53596567170108
"chem_epidemic_3",31,1,-0.158121474271334,3.57428980819226
"chem_epidemic_3",32,1,-0.187713272744732,3.60604939318625
"chem_epidemic_3",33,1,-0.194608255785668,3.63367390984645
"chem_epidemic_3",34,1,-0.210686721176238,3.64311079632942
"chem_epidemic_3",35,1,-0.22778752625796,3.6956223135099
"chem_epidemic_3",36,1,-0.240227086847377,3.71255571342412
"chem_epidemic_3",37,1,-0.24198856982901,3.74850106397178
"chem_epidemic_3",38,1,-0.267222312792435,3.77706979475585
"chem_epidemic_3",39,1,-0.298672540652762,3.81001970088745
"chem_epidemic_3",40,1,-0.293339866241864,3.83524391859167
