"Start","Value","Convergence","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","b","r","tau","sigma_prev","sigma_g","sigma_q"
62,1461.88652249913,"Successful completion",0.0195850968729267,0.995682037771764,0.400000259018855,0.534306357286762,0.116013102609722,0.0867289917942038,2.52026987969127,0.622359793082021,1.5339969658377,0.549244788098998,0.816512450645786
63,1461.73055407529,"Successful completion",0.0199999995208118,0.995800516722323,0.400000000009963,0.532261147867114,0.118422232529325,0.0727409114154217,1.58513385598275,0.757213751683397,1.53902618130343,0.549114618161145,0.815370318537022
64,1437.55249659625,"Successful completion",0.00425687552887851,0.995988979841705,0.414686282904684,0.363542019071827,0.0295994340154493,0.0557437700693964,1.96430434417243,0.988743993284364,1.50334334049964,0.523009674796153,0.827116822725046
65,1464.70323806028,"Successful completion",0.00446984335778842,0.996041941486648,0.413723480380839,0.363171081341409,0.0309250193832246,0.0532151661926798,1.84335472138134,1.05956260530242,1.99999493332494,0.523708787612507,0.822803719124726
66,1714.0662780865,"Successful completion",0.0199994884660933,0.95,0.400000000000394,0.774955728867038,0.753898826828558,0.104194987831279,4.9999999999966,3.99999999999069,1.99999999987914,0.590649465719249,1.07452241919323
67,1485.28317725469,"Successful completion",0.0199991378441232,0.995846586079915,0.400108823042755,0.543731102501428,0.11805761002128,0.0800543908992925,1.65487294784147,0.679844541581751,1.99998291194072,0.54775904495652,0.813618071350412
68,1602.44060903323,"Successful completion",0.0199781467685143,0.996173374239381,0.403529234105399,0.344100735503184,0.151586131843667,0.0314676950097194,4.99377397044577,3.9749454788642,1.99400610856897,0.573321569310542,0.911559866602115
69,1443.21905865994,"Maximum number of evaluations exceeded",0.00598011474867086,0.995950568891606,0.419081003133361,0.35657038681351,0.0399880339909597,0.0419793597978535,1.15998515706062,1.41365042351414,1.55511730739239,0.538739226222515,0.800566751841398
70,1439.63157022214,"Successful completion",0.00412880743437029,0.99603340917367,0.400009559943829,0.362952696175132,0.0295595386389801,0.0531207832379211,1.88536565958611,1.05906594657916,1.50668010388364,0.522793414197504,0.832829444757849
71,1485.21689511918,"Successful completion",0.0199287193924979,0.995531444989639,0.419308186142842,0.529520147009944,0.113270351429613,0.102675367659762,4.74034703794987,0.517139698741374,1.99972131462388,0.551103646489218,0.808613652612939
72,1487.32042071269,"Successful completion",0.02,0.995609074412808,0.4,0.530311571406364,0.118910672927714,0.0919195173397028,5,0.60402100774657,2,0.551421624930337,0.814520269839421
73,1463.93003133972,"Successful completion",0.0199994848041084,0.995615794336266,0.400001585340053,0.548201705426069,0.116715112003033,0.102492166761433,2.64441419598741,0.500822721390253,1.5355592282687,0.549845914433669,0.821847415183827
74,1598.64457871464,"Maximum number of evaluations exceeded",0.0100163880612445,0.993774809931073,0.406270628440067,0.771594235373737,0.749813091088758,0.1120749362914,0.734979814014613,3.08175811234694,1.56733312985916,0.581649077158455,1.13979760914538
75,1576.81786001798,"Successful completion",0.00340388281738294,0.995976801466905,0.409349763147668,0.355854868479578,0.0272862381183031,0.0626540319257063,2.00762520983349,0.809253370596481,1.49828816017487,0.513508416841703,1.99999999999906
76,1940.17916429742,"Successful completion",0.0199999991367403,0.993282712063651,0.424891686252444,0.689289370988756,0.63927566544632,0.199999512570871,4.14084825170394,0.50000048955396,1.58871463163433,1.99999999500581,1.21255938722736
77,1472.57789749289,"Successful completion",0.00593256944925474,0.995716770074743,0.4,0.409429802264259,0.0407288631057224,0.0881492718901909,4.99999999999968,0.591520769990052,1.99792602404951,0.529078805494813,0.830871043872652
