"id","Value","Convergence","alpha_w","alpha_m","prev0_epidemic","prev0_endemic","freq0","phi_w","phi_m","a","b","r","tau","sigma_prev","sigma_g","sigma_q"
5362,1450.41649117687,0,0.00184229763613487,0.00580314942415314,0.00100030983839114,0.996225341415679,0.417409039510391,0.296080721944782,0.00910559127292854,9.99999999961907e-07,0.0356827179668197,1.96315267858117,2.22317829349698,1.32478307769796,0.5751078860649,0.900729049117045
5363,1585.27521654233,0,0.000623246964074127,0.0039949517795616,0.0119016700181025,0.994421498258418,0.400000436428414,0.334187770964252,0.0427855105720261,9.9979978695733e-07,0.0486335850241962,2.38527571300399,1.42726164716598,1.66618835663778,0.670397382595457,0.842825419831819
5364,1489.19032337619,0,0.0019688332114706,0.00819031259179789,0.0072311719439181,0.997124810767257,0.400454528308553,0.47100654182873,0.0388138633096152,9.99860502472831e-07,0.0791654036819856,4.88433891063463,0.758077919468086,1.41398388141599,0.682849983378734,0.748502482725983
5365,1556.19814621996,0,0.00335186503998024,0.0189821738832807,0.00814422086324081,0.999050005400361,0.402717251401818,0.467183631751921,0.0455150584755507,9.998307701648e-07,0.0346445300214668,0.773322079291418,2.12788773174416,1.5157887909855,0.640835236903738,0.923050630221947
5366,1486.78270781732,0,0.00149202596362546,0.00775262359464343,0.00216854355545903,0.996370331093909,0.40010599201958,0.307460942930143,0.0121653362847652,9.99995174253922e-07,0.0526989137769394,4.17567813791752,1.31410514860694,1.28135217523138,0.716176231499399,0.793110768676903
5367,1678.6173939994,0,0.00108383707693516,0.00565846185421018,0.00638849897252098,0.996731020161189,0.402419001847431,0.294242473129748,0.0356910313756166,9.98165257502828e-07,0.030072284944235,0.805588921942651,2.90792659131111,1.96401330124195,0.710094233127754,0.822025430476653
5368,1464.62327339978,0,0.00276513273927935,0.0169744948403281,0.00593757907571282,0.997714062933553,0.43621874159475,0.418530031281117,0.0405566665750316,9.98711265170524e-07,0.0441585452275782,1.42974108975241,1.41264788320012,1.43334235168633,0.606107595749512,0.79413688254799
5369,1619.33689177537,0,0.00327413016858814,0.0161429670376722,0.00298849988919317,0.989727300000668,0.413408650482183,0.386054180902738,0.0198999198778774,9.99958586233789e-07,0.0536902096234557,4.99250639365123,1.19188208832071,1.72247786306697,0.619720313440623,0.997720968959662
5370,1e+10,0,-0.000544512528459616,-0.00340201673333862,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
5371,1831.94126276835,2,0.000613370295030509,0.00281733364160777,0.00424060899069414,0.99608019222184,0.401291352822203,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.99900585049096,0.521891636670772,0.825449096520322
5372,1567.90401536377,0,0.00205746853928202,0.0113030507395372,0.00446222811240472,0.992351316987977,0.400002127487655,0.39145466005471,0.0252779251035732,9.99998695412989e-07,0.0534740006457701,5,1.28429087759392,1.77616029976559,0.619041007617796,0.813733708529343
5373,1525.88159463611,0,0.00300181708182314,0.0185341907648409,0.00196176457729294,0.994421330718394,0.400000184596058,0.421489689214224,0.00942188412741638,9.99999936074022e-07,0.0561526023647644,4.99963509407371,1.09208810112301,1.22919693749823,0.648880277315989,1.08167029663475
5374,1447.68660614388,0,0.00252608586692374,0.0134571700712684,0.00306723320585194,0.994507041553991,0.400000472828751,0.355118300000089,0.0210540563690937,9.99999999991329e-07,0.0569681631136988,4.99999999787836,1.11430608627745,1.43809785663561,0.577782229117115,0.796980153532658
5375,1563.58544870135,2,0.00469100168239842,0.0188679021727393,0.00424060899069414,0.99608019222184,0.562510674469475,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.50774552314601,0.521891636670772,0.825449096520322
5376,1832.05231226687,2,0.00182853170432161,0.0091592374944378,0.00424060899069414,0.99608019222184,0.416015052603799,0.346930959244592,0.0291033436543919,9.99812226039897e-07,0.0494148239598245,1.60234166576493,1.07864417776272,1.99972826239916,0.521891636670772,0.825449096520322
5377,1499.05530448659,0,0.00252636233539162,0.0130725402293241,0.00274774327012699,0.989069006156621,0.408114871278986,0.394226930751824,0.0160623438930806,9.99656407686749e-07,0.0489573532644309,4.9695238109086,1.34238008676949,1.71050542004734,0.537817137854994,0.823103956699767
5378,1553.1199675931,0,0.00387681548832564,0.0167272783267975,0.00283565798258599,0.995738029983384,0.433250070151608,0.375622448687602,0.0205577847703072,9.99773528559162e-07,0.0436484268107706,2.61789889831828,1.52990566450737,1.736277876103,0.597795764076228,0.836908766271786
5379,1563.42286436324,0,0.0036947087169345,0.0194775370052297,0.0011662094005104,0.995617816442877,0.478569335282588,0.188342885768713,0.016477709021293,9.99977440983805e-07,0.0243837508422712,0.792770279652547,3.51969496511682,1.63318916034936,0.701777268186269,0.813741930830918
