"chemostat","time","prev0","wildtype","cI857","coinf","suscept","cI857col","prevalence","g","logit_g","logit_prev"
"chem3",32,100,30845,17704,1380,71,"CFP",0.998539695598519,0.364662505921852,-0.555184059912853,6.52764899914364
"chem3",33,100,25962,23449,395,194,"CFP",0.996089103920976,0.474570439780616,-0.101806080411033,5.54007019138972
"chem3",34,100,30079,18661,1211,49,"CFP",0.998995675254668,0.382868280672959,-0.477391469296837,6.90243502906855
"chem3",35,100,26141,23284,445,130,"CFP",0.997376652204621,0.471097622660597,-0.115738533601916,5.94067719758324
"chem3",36,100,30114,18356,1472,58,"CFP",0.998804813715793,0.378708479471838,-0.495033683368264,6.72825731829304
"chem3",37,100,28942,19693,1266,99,"CFP",0.997968564041532,0.404914156471677,-0.385030584665742,6.19697886516894
"chem3",38,100,31595,15642,2360,403,"CFP",0.991540722082284,0.331138725998687,-0.703039276045999,4.76399620084425
"chem3",39,100,29782,18441,1665,112,"CFP",0.99768283852281,0.38241088277378,-0.479327737575031,6.06509249335343
"chem3",40,100,31838,16046,2036,80,"CFP",0.99833208239513,0.335101495280261,-0.68520094760148,6.3945100636974
"chem3",41,100,29052,19057,1778,113,"CFP",0.9976566712289,0.396121307863394,-0.421652839597683,6.05383673006569
"chem3",42,100,29999,18118,1818,65,"CFP",0.998650948486987,0.376540515826007,-0.504258128526158,6.60700355410988
"chem3",43,100,29768,18509,1627,96,"CFP",0.998015421826225,0.38339167719618,-0.475176890769742,6.22036234428195
"chem3",44,100,31003,16602,2320,75,"CFP",0.998427013422819,0.348744879739523,-0.62456080396353,6.45320496318349
"chem3",45,100,29343,19433,1185,39,"CFP",0.999201065246338,0.398413154010169,-0.412081365093899,7.13143202145802
"chem3",46,100,29350,19264,1339,47,"CFP",0.999034134111506,0.396264450569795,-0.421054477147695,6.94151923253911
"chem3",47,100,29865,18544,1533,58,"CFP",0.998803309468298,0.383069263979838,-0.476540939586873,6.72699801528486
"chem3",48,100,30049,18121,1767,63,"CFP",0.998693840316796,0.376188499065809,-0.505757895827259,6.63935697323272
"chem4",1,100,24988,24514,61,437,"YFP",0.991249324175494,0.495212314653953,-0.0191513267123501,4.72983515668537
"chem4",2,100,24775,21533,430,3262,"YFP",0.934194068993343,0.464995249201002,-0.140248438091581,2.65297422814466
"chem4",3,100,26140,20479,525,2856,"YFP",0.942273875694795,0.439284411935048,-0.2440667373419,2.79258613887877
"chem4",4,100,27382,19673,693,2252,"YFP",0.954326971829558,0.418085219424078,-0.330638725917435,3.03949842003331
"chem4",5,100,26470,18824,791,3915,"YFP",0.920441382673901,0.415595884664635,-0.340879364813949,2.44835924394278
"chem4",6,100,28250,17474,633,3643,"YFP",0.926205764984706,0.382162540460152,-0.480379395716547,2.52981580613711
"chem4",7,100,29959,17299,505,2237,"YFP",0.954803515506617,0.366054424647679,-0.54918108389001,3.05048626926938
"chem4",8,100,30642,16753,478,2127,"YFP",0.95704939218933,0.353476105074375,-0.603794270182167,3.1038042016869
"chem4",9,100,31351,16402,502,1745,"YFP",0.964746050345468,0.343475802567378,-0.647842885882617,3.30928733652393
"chem4",10,100,32820,16038,294,848,"YFP",0.982939685349857,0.328257398993,-0.716077179277108,4.05379277490329
"chem4",11,100,33201,15915,289,595,"YFP",0.988030818128784,0.32402882970926,-0.735317935216702,4.41337872073477
"chem4",12,100,33784,15246,331,639,"YFP",0.987134832591757,0.310952478074648,-0.79567014406556,4.34028318026774
"chem4",13,100,34656,14652,356,336,"YFP",0.993231810490694,0.297152591871502,-0.860894025902012,4.98873045870821
